opA,4RDW, $100.0,2023-07-18  00:16:59 PST
opB,4RDW, $100.0,2023-07-18  00:17:02 PST
opC,4RDW, $100.0,2023-07-18  00:17:07 PST
opA,4RDW, $100.0,2023-07-18  00:17:48 PST
opB,4RDW, $100.0,2023-07-18  00:19:27 PST
opA,1SSS, $100.0,2023-07-18  00:20:55 PST
opB,1SSS, $100.0,2023-07-18  00:21:04 PST
opC,1SSS, $100.0,2023-07-18  00:21:15 PST
opD,1SSS, $100.0,2023-07-18  00:21:27 PST
opE,1SSS, $100.0,2023-07-18  00:21:34 PST
opA,4RDW, $100.0,2023-07-18  00:22:34 PST
opA,4RDW, $100.0,2023-07-18  00:23:02 PST
opB,4RDW, $100.0,2023-07-18  00:24:36 PST
opC,4RDW, $100.0,2023-07-18  00:24:45 PST
opA,4RDW, $100.0,2023-07-18  00:25:20 PST
opA,4RDW, $100.0,2023-07-18  00:26:57 PST
opB,4RDW, $100.0,2023-07-18  00:27:11 PST
opC,4RDW, $100.0,2023-07-18  00:27:15 PST
opD,4RDW, $100.0,2023-07-18  00:27:18 PST
opE,4RDW, $100.0,2023-07-18  00:27:21 PST
opF,4RDW, $100.0,2023-07-18  00:27:35 PST
opG,4RDW, $100.0,2023-07-18  00:27:41 PST
opA,4RDW, $100.0,2023-07-18  00:27:53 PST
opA,4RDW, $100.0,2023-07-18  12:37:56 PST
opB,4RDW, $100.0,2023-07-18  12:37:59 PST
opC,4RDW, $100.0,2023-07-18  12:38:01 PST
opD,4RDW, $100.0,2023-07-18  12:38:03 PST
opA,4RDW, $100.0,2023-07-18  13:07:33 PST
opA,9GHB, $100.0,2023-07-18  14:20:37 PST
opA,1SSS, $100.0,2023-07-18  19:52:04 PST
opB,1SSS, $100.0,2023-07-18  19:52:06 PST
opA,9HNJ, $100.0,2023-07-18  21:51:25 PST
opA,6UTW, $100.0,2023-07-18  22:10:17 PST
opA,2WAZ, $6666.0,2023-07-20  14:09:23 PST
